iter	Passed	Remaining
0	3	3093
1	5	2545
2	7	2350
3	9	2428
4	12	2399
5	14	2348
6	15	2269
7	17	2227
8	19	2188
9	21	2158
10	23	2147
11	26	2150
12	28	2156
13	30	2153
14	32	2125
15	34	2111
16	36	2106
17	38	2087
18	40	2082
19	42	2068
20	44	2056
21	45	2039
22	47	2024
23	49	2009
24	51	1994
25	52	1982
26	55	1982
27	57	1992
28	59	1986
29	61	1980
30	63	1972
31	64	1959
32	65	1929
33	67	1924
34	69	1923
35	72	1934
36	73	1911
37	75	1901
38	76	1895
39	78	1895
40	80	1891
41	82	1888
42	84	1888
43	87	1898
44	89	1897
45	91	1891
46	92	1885
47	94	1879
48	96	1865
49	97	1861
50	99	1860
51	101	1859
52	104	1866
53	106	1861
54	108	1856
55	109	1851
56	111	1850
57	113	1845
58	115	1841
59	117	1840
60	119	1842
61	121	1838
62	123	1834
63	125	1829
64	126	1824
65	128	1815
66	130	1810
67	131	1806
68	133	1805
69	135	1802
70	137	1800
71	139	1796
72	141	1795
73	142	1787
74	145	1789
75	146	1784
76	148	1782
77	150	1781
78	152	1778
79	153	1768
80	155	1765
81	157	1761
82	159	1759
83	160	1753
84	162	1751
85	164	1748
86	166	1743
87	167	1737
88	169	1734
89	171	1732
90	173	1729
91	175	1727
92	176	1724
93	178	1721
94	180	1715
95	182	1714
96	183	1711
97	185	1708
98	187	1705
99	189	1702
100	190	1699
101	192	1696
102	194	1693
103	196	1693
104	198	1693
105	199	1686
106	201	1683
107	203	1682
108	205	1680
109	207	1678
110	209	1675
111	211	1672
112	212	1671
113	214	1668
114	216	1666
115	218	1664
116	220	1661
117	221	1658
118	223	1655
119	225	1652
120	227	1653
121	229	1652
122	231	1647
123	232	1644
124	234	1641
125	236	1638
126	237	1635
127	239	1630
128	241	1628
129	243	1627
130	245	1627
131	247	1625
132	248	1622
133	250	1619
134	252	1616
135	254	1613
136	255	1611
137	257	1608
138	259	1608
139	261	1605
140	263	1604
141	265	1602
142	266	1599
143	268	1596
144	270	1593
145	271	1587
146	273	1585
147	275	1585
148	277	1583
149	279	1581
150	280	1577
151	282	1574
152	284	1572
153	285	1570
154	287	1568
155	289	1567
156	291	1567
157	293	1566
158	295	1564
159	297	1562
160	299	1561
161	301	1559
162	303	1557
163	305	1555
164	307	1554
165	309	1553
166	310	1550
167	312	1547
168	314	1544
169	315	1541
170	317	1539
171	319	1537
172	321	1538
173	323	1536
174	325	1533
175	327	1531
176	328	1527
177	329	1522
178	331	1519
179	333	1517
180	334	1515
181	336	1513
182	338	1512
183	340	1509
184	341	1506
185	343	1504
186	345	1502
187	347	1501
188	349	1499
189	351	1497
190	353	1496
191	354	1492
192	356	1490
193	358	1488
194	359	1486
195	361	1484
196	363	1482
197	365	1479
198	367	1477
199	369	1476
200	370	1472
201	372	1470
202	373	1467
203	375	1465
204	377	1463
205	379	1461
206	380	1456
207	381	1454
208	383	1452
209	385	1450
210	387	1448
211	389	1446
212	390	1444
213	392	1443
214	394	1441
215	396	1438
216	398	1436
217	400	1435
218	402	1433
219	403	1432
220	405	1430
221	407	1429
222	409	1427
223	411	1425
224	412	1422
225	414	1419
226	416	1418
227	418	1415
228	419	1413
229	421	1410
230	422	1407
231	424	1405
232	426	1402
233	427	1399
234	429	1397
235	431	1395
236	432	1393
237	434	1390
238	436	1388
239	437	1386
240	439	1383
241	440	1381
242	442	1378
243	444	1376
244	445	1374
245	447	1372
246	449	1370
247	451	1369
248	453	1366
249	454	1364
250	456	1361
251	457	1359
252	459	1356
253	460	1353
254	462	1352
255	464	1350
256	466	1348
257	467	1345
258	469	1343
259	471	1341
260	472	1338
261	474	1336
262	475	1333
263	477	1332
264	479	1330
265	481	1328
266	483	1326
267	484	1323
268	486	1321
269	488	1319
270	489	1317
271	491	1315
272	493	1313
273	495	1311
274	496	1309
275	498	1307
276	499	1304
277	501	1302
278	503	1299
279	504	1297
280	506	1295
281	507	1292
282	510	1293
283	512	1292
284	514	1289
285	515	1287
286	517	1285
287	518	1282
288	520	1280
289	521	1277
290	523	1276
291	525	1275
292	527	1273
293	529	1271
294	531	1269
295	532	1266
296	534	1264
297	535	1262
298	537	1260
299	539	1258
300	541	1256
301	542	1254
302	544	1252
303	546	1250
304	547	1247
305	549	1245
306	550	1243
307	552	1241
308	554	1239
309	556	1237
310	557	1236
311	559	1233
312	561	1231
313	562	1229
314	564	1226
315	565	1224
316	567	1222
317	569	1220
318	570	1218
319	572	1216
320	574	1214
321	575	1212
322	577	1210
323	578	1207
324	580	1205
325	582	1203
326	583	1201
327	585	1199
328	586	1197
329	588	1195
330	590	1193
331	591	1190
332	593	1188
333	595	1186
334	596	1184
335	598	1182
336	599	1180
337	601	1178
338	603	1176
339	605	1175
340	607	1173
341	608	1170
342	610	1168
343	611	1166
344	613	1164
345	614	1162
346	616	1160
347	618	1158
348	620	1156
349	621	1154
350	623	1152
351	624	1150
352	626	1148
353	628	1146
354	630	1144
355	631	1142
356	633	1140
357	635	1139
358	636	1137
359	638	1135
360	640	1132
361	641	1130
362	643	1128
363	644	1126
364	646	1124
365	648	1122
366	649	1120
367	651	1119
368	653	1117
369	654	1114
370	656	1112
371	658	1110
372	659	1109
373	661	1106
374	662	1104
375	664	1102
376	666	1101
377	668	1099
378	669	1097
379	671	1095
380	672	1093
381	674	1091
382	676	1089
383	677	1087
384	679	1085
385	681	1083
386	682	1081
387	684	1079
388	686	1077
389	687	1075
390	689	1073
391	690	1071
392	692	1069
