iter	Passed	Remaining
0	2	2455
1	4	2391
2	6	2272
3	9	2261
4	11	2198
5	12	2144
6	14	2100
7	16	2064
8	18	2047
9	20	2049
10	22	2066
11	25	2074
12	27	2056
13	28	2021
14	30	2008
15	32	2003
16	34	1991
17	36	1999
18	38	2008
19	40	1997
20	42	1991
21	44	1985
22	46	1979
23	48	1970
24	50	1985
25	53	1987
26	55	1989
27	57	1990
28	59	1991
29	61	1988
30	63	1987
31	65	1988
32	67	1984
33	69	1977
34	71	1971
35	73	1957
36	74	1943
37	76	1933
38	78	1926
39	80	1927
40	82	1922
41	84	1916
42	85	1911
43	87	1904
44	89	1899
45	91	1894
46	93	1890
47	95	1888
48	96	1882
49	98	1878
50	100	1865
51	102	1861
52	103	1846
53	105	1842
54	106	1832
55	108	1828
56	110	1827
57	112	1825
58	113	1807
59	115	1802
60	116	1799
61	118	1796
62	120	1793
63	122	1790
64	124	1788
65	126	1784
66	127	1781
67	129	1778
68	130	1767
69	132	1765
70	134	1761
71	136	1756
72	140	1785
73	142	1781
74	144	1777
75	145	1774
76	147	1771
77	149	1769
78	151	1765
79	153	1762
80	155	1759
81	156	1756
82	158	1752
83	160	1749
84	162	1746
85	163	1742
86	165	1739
87	167	1736
88	170	1741
89	172	1739
90	173	1737
91	175	1733
92	177	1731
93	179	1727
94	181	1725
95	183	1723
96	184	1720
97	186	1720
98	188	1718
99	190	1716
100	192	1714
101	193	1707
102	195	1704
103	197	1700
104	199	1697
105	201	1697
106	203	1694
107	204	1688
108	206	1686
109	208	1683
110	209	1680
111	211	1678
112	213	1676
113	215	1674
114	216	1668
115	218	1666
116	220	1663
117	222	1661
118	224	1659
119	226	1657
120	227	1653
121	229	1651
122	231	1650
123	233	1647
124	235	1645
125	236	1639
126	237	1633
127	239	1632
128	241	1630
129	242	1625
130	244	1624
131	246	1621
132	248	1619
133	250	1617
134	252	1614
135	253	1612
136	255	1611
137	257	1609
138	259	1607
139	261	1604
140	262	1601
141	264	1599
142	266	1596
143	268	1594
144	270	1592
145	271	1590
146	273	1588
147	275	1583
148	276	1581
149	278	1577
150	280	1574
151	281	1572
152	283	1571
153	285	1569
154	286	1564
155	288	1562
156	290	1559
157	292	1557
158	293	1553
159	295	1550
160	296	1545
161	298	1543
162	300	1542
163	302	1540
164	303	1538
165	305	1536
166	307	1534
167	309	1533
168	311	1531
169	313	1529
170	315	1527
171	316	1525
172	318	1522
173	320	1520
174	322	1518
175	323	1516
176	325	1514
177	327	1512
178	329	1510
179	331	1508
180	332	1506
181	334	1504
182	336	1502
183	338	1501
184	340	1499
185	342	1497
186	344	1495
187	345	1492
188	347	1489
189	348	1487
190	350	1485
191	352	1483
192	354	1481
193	356	1479
194	357	1476
195	359	1474
196	361	1472
197	363	1471
198	365	1469
199	367	1468
200	369	1467
201	370	1465
202	372	1463
203	373	1459
204	375	1456
205	377	1454
206	379	1452
207	381	1451
208	382	1449
209	384	1446
210	386	1444
211	388	1442
212	389	1440
213	391	1438
214	393	1436
215	395	1434
216	396	1432
217	398	1430
218	400	1428
219	402	1425
220	403	1423
221	405	1421
222	407	1420
223	409	1418
224	411	1415
225	412	1413
226	414	1411
227	416	1409
228	418	1407
229	419	1405
230	421	1403
231	423	1401
232	425	1399
233	426	1397
234	428	1395
235	430	1393
236	432	1390
237	433	1388
238	435	1386
239	437	1384
240	438	1382
241	440	1380
242	442	1377
243	443	1375
244	445	1373
245	447	1371
246	449	1369
247	450	1367
248	452	1365
249	454	1362
250	455	1360
251	457	1358
252	459	1356
253	460	1353
254	462	1351
255	464	1349
256	466	1347
257	467	1345
258	469	1343
259	471	1340
260	472	1338
261	473	1334
262	475	1332
263	477	1330
264	478	1328
265	480	1325
266	482	1324
267	484	1322
268	485	1319
269	487	1317
270	489	1315
271	490	1313
272	492	1311
273	494	1309
274	495	1307
275	497	1304
276	499	1302
277	500	1300
278	502	1298
279	504	1296
280	505	1294
281	507	1292
282	509	1289
283	510	1287
284	512	1285
285	514	1283
286	515	1281
287	517	1279
288	519	1277
289	520	1275
290	522	1273
291	524	1271
292	525	1269
293	527	1267
